Date,Open,High,Low,Close,Volume,Adj Close
2017-09-12,34100,34100,33850,33900,141,33900
2017-09-11,34000,34000,33800,34000,300,34000
2017-09-08,33650,33800,33650,33750,407,33750
2017-09-07,33500,33850,33500,33650,402,33650
2017-09-06,33600,33800,33300,33700,800,33700
2017-09-05,34500,34500,33950,33950,787,33950
2017-09-04,34500,34500,34300,34500,265,34500
2017-09-01,34600,34750,34400,34500,791,34500
2017-08-31,34400,34600,34000,34350,632,34350
2017-08-30,33800,34350,33800,34350,937,34350
2017-08-29,33650,33750,33500,33650,575,33650
2017-08-28,32950,33600,32850,33600,2674,33600
2017-08-25,32450,32600,32350,32600,549,32600
2017-08-24,32350,32500,32350,32350,548,32350
2017-08-23,32450,32550,32250,32550,1593,32550
2017-08-22,32150,32200,32100,32150,468,32150
2017-08-21,31950,32500,31900,32200,771,32200
2017-08-18,32050,32150,31750,31800,1325,31800
2017-08-17,32150,32250,32100,32150,225,32150
2017-08-16,31950,32100,31800,32100,829,32100
2017-08-15,31950,31950,31500,31700,142,31700
2017-08-14,31600,31700,31300,31500,315,31500
2017-08-10,32250,32250,31400,31500,870,31500
2017-08-09,32500,32600,32000,32000,601,32000
2017-08-08,32650,32650,32400,32500,537,32500
2017-08-07,32500,32700,32400,32600,732,32600
2017-08-04,32150,32500,32150,32400,1474,32400
2017-08-03,32250,32350,32100,32250,606,32250
2017-08-02,31750,32100,31750,32000,1309,32000
2017-08-01,31250,31550,31250,31550,332,31550
2017-07-31,30850,31200,30850,31200,835,31200
2017-07-28,30500,30800,30500,30700,257,30700
2017-07-27,30450,30600,30450,30500,231,30500
2017-07-26,30700,30750,30600,30700,467,30700
2017-07-25,30800,30800,30650,30650,271,30650
2017-07-24,30750,30800,30700,30700,685,30700
2017-07-21,30750,30850,30700,30750,457,30750
2017-07-20,30350,30750,30350,30750,689,30750
2017-07-19,30050,30300,30050,30250,334,30250
2017-07-18,30050,30200,30000,30050,614,30050
2017-07-14,29880,30200,29860,30150,861,30150
2017-07-13,29630,29870,29600,29710,433,29710
2017-07-12,29550,29790,29550,29610,448,29610
2017-07-11,29080,29680,28990,29680,837,29680
2017-07-10,29000,29080,29000,29010,410,29010
2017-07-07,28850,28980,28820,28830,308,28830
2017-07-06,28590,28850,28550,28830,193,28830
2017-07-05,28500,28890,28500,28690,190,28690
2017-07-04,28830,28960,28500,28520,346,28520
2017-07-03,28760,29050,28530,28750,186,28750
2017-06-30,28500,28990,28500,28730,374,28730
2017-06-29,29000,29050,28940,29000,189,29000
2017-06-28,28980,29050,28930,28950,586,28950
2017-06-27,28950,28970,28900,28930,444,28930
2017-06-26,28640,28830,28640,28830,893,28830
2017-06-23,28650,28690,28460,28550,448,28550
2017-06-22,28250,28650,28250,28650,589,28650
2017-06-21,28090,28500,28090,28210,936,28210
2017-06-20,27600,28000,27560,28000,885,28000
2017-06-19,27400,27550,27210,27550,151,27550
2017-06-16,27150,27270,27040,27160,466,27160
2017-06-15,27020,27090,26740,27040,344,27040
2017-06-14,26990,27100,26880,26890,157,26890
2017-06-13,26860,26960,26860,26950,138,26950
2017-06-12,26810,26980,26810,26860,186,26860
2017-06-09,26800,26850,26600,26840,583,26840
2017-06-08,26710,26710,26510,26620,156,26620
2017-06-07,26500,26740,26490,26620,302,26620
2017-06-06,26560,26790,26450,26450,172,26450
2017-06-05,26800,26850,26650,26660,213,26660
2017-06-02,26950,27020,26600,26710,318,26710
2017-06-01,26940,26950,26640,26660,231,26660
2017-05-31,26680,26980,26600,26970,401,26970
2017-05-30,26500,26680,26450,26660,1857,26660
2017-05-29,26730,26730,26400,26500,42,26500
2017-05-26,26690,26700,26550,26700,274,26700
2017-05-25,26200,26700,26170,26700,632,26700
2017-05-24,26500,26500,26100,26100,375,26100
2017-05-23,26340,26540,26340,26360,125,26360
2017-05-22,26380,26540,26250,26480,676,26480
2017-05-19,27100,27100,26400,26630,1378,26630
2017-05-18,27160,27300,27050,27210,455,27210
2017-05-17,27470,27680,27340,27400,316,27400
2017-05-16,27680,27680,27420,27460,368,27460
2017-05-15,27400,27670,27390,27670,273,27670
2017-05-12,27610,27620,27400,27540,115,27540
2017-05-11,27590,27590,27400,27530,289,27530
